Word,Frequency
soil,13.547697915840699
systems,9.588805506087192
tree,9.37837288688714
agroforestry,8.653180795296024
yield,8.368039460826049
trees,8.051146694029322
rubber,7.827629774075632
oil,7.6492779463985405
water,7.50192429341299
coffee,7.341632299746339
species,7.076713495145975
crop,7.05353160568978
palm,6.720180739827185
management,6.602572249881915
cocoa,6.590275723145585
shade,6.456123539084067
plant,6.431867010707556
practices,6.196321502679597
climate,5.877765954046117
production,5.8640679544722
use,5.758031005221899
study,5.5054505181926165
farmers,5.469490655812177
growth,5.467129745980863
based,5.4342993526201955
results,5.244369400754938
fruit,5.175821258475407
model,5.045476970979094
different,4.8407267041057125
farming,4.807575529129035
data,4.786998216260766
high,4.7815695780421175
using,4.766248694315998
change,4.744729745194222
scale,4.635085207893189
drought,4.449482052334549
conditions,4.3734213349658155
effects,4.331163527521168
agricultural,4.315756632755831
afs,4.307685924188601
communities,4.258913596891674
low,4.210042998127307
used,4.2017299798227175
diversity,4.1781590701910165
carbon,4.175940173369221
services,4.17022204414606
leaf,4.131338288228329
environmental,4.086647745359081
cropping,4.051098133337021
crops,4.035088671358101
weed,3.9348219769228647
farm,3.886515511144977
organic,3.8839505684680584
approach,3.8693348387815063
analysis,3.8281013871378144
quality,3.7914336131295308
year,3.7642610975609894
field,3.698518358250129
effect,3.666240919382423
strategies,3.636207379691695
associated,3.6103332193552746
years,3.586569307395378
ha,3.574612372575401
irrigation,3.549244531263507
impact,3.540923773545907
level,3.50416602858071
apple,3.453071758831611
nitrogen,3.44475995711716
knowledge,3.3972135727456516
biodiversity,3.3911843132091697
higher,3.3904022339110864
time,3.3514468559416613
fertilization,3.312901599408278
land,3.304179631880126
ecosystem,3.3031641177391786
potential,3.298928195072668
research,3.2959093602902767
grapevine,3.2741032113684603
increase,3.2287994869431746
increased,3.2244848094971674
local,3.216270596935612
plants,3.2087946575157855
changes,3.208649678931996
impacts,3.1269433945987832
control,3.1128547246645435
nutrient,3.0860193133726455
content,3.085666363164977
compared,3.0759214439551785
economic,3.072546202000689
factors,3.0561962056762186
vineyards,3.0411396190419824
functional,3.0400853027839094
main,3.03923512488604
showed,3.03170977474904
traits,3.027690823520244
pesticide,3.022485498969611
area,3.0128310736913964
plantations,3.0096567941636923
indicators,2.99359327380754
period,2.9330612955571698
food,2.9295805109807143
yields,2.919154665303608
design,2.916770037775051
light,2.89221613141257
structure,2.8899675565390033
methods,2.8824516822712405
productivity,2.8701275775416972
context,2.8636255667874635
landscape,2.8635288530265406
assess,2.827326788476392
stress,2.750619705434803
provide,2.7463678978806314
natural,2.7290283164503535
dynamics,2.719984839771946
related,2.7099620658027352
performance,2.7081510490614393
wheat,2.6981941113795247
farms,2.6951012543720956
stakeholders,2.679219376268044
specific,2.6599989243080944
method,2.6521030251918134
development,2.644196298069992
plots,2.6243596237855855
availability,2.5874014428550196
sustainability,2.5829351159530787
key,2.56429006864286
agriculture,2.561924350939678
adaptation,2.5603592237999058
ca,2.5387018737567275
number,2.5303240479205185
studies,2.5300326157093687
conversion,2.516804650462968
composition,2.5104669786076097
service,2.499216648694662
better,2.4803174329492266
important,2.4775625243152457
interactions,2.4745282932871495
understanding,2.461820718361669
series,2.4414094010862253
assessment,2.4362012069158703
plot,2.43496299165274
annual,2.4250910620731787
fields,2.422035030251786
pest,2.41982217740749
cafs,2.4144201926289033
including,2.412967124274929
landscapes,2.407938338630696
cover,2.39808429534176
cycle,2.38668215257489
growing,2.381402376767816
models,2.3672114211481796
root,2.3666672785793397
sustainable,2.366579815358873
products,2.360814758282254
future,2.3546921475293296
kg,2.3494232168125766
region,2.3459132283706547
agroecological,2.317001709172632
new,2.3079243511486967
significant,2.3036379679799093
cultivars,2.2821350811221053
reduction,2.249365199250313
france,2.237648548260766
site,2.233105230638752
density,2.223813799649744
global,2.2220957309597225
transition,2.219750378515993
areas,2.2191602680880056
improve,2.2010007601299812
spatial,2.1994111206968823
lower,2.199108529018215
framework,2.1931918882365093
latex,2.18028492631776
variability,2.1675713693969483
reduced,2.1642560583818224
support,2.1631585284046078
increasing,2.155955405394692
major,2.1445842209630444
biomass,2.1432586590837257
developed,2.1424595088807945
significantly,2.1260777675499516
small,2.1229805868419067
functions,2.1209784477142355
vineyard,2.1135823573841157
strategy,2.109720438786014
identify,2.109126985293558
set,2.107826564226596
scales,2.1037878475155356
cm,2.0875018916921033
emissions,2.073680791635757
temporal,2.0650089926547417
ecological,2.058541548295967
present,2.056991910392453
