Equipe;Reference Type;Record Number;Author;Year;Title;Short Title;Journal;Volume;Issue;Date;ISSN;DOI;Article Number;Accession Number;NIHMSID;Conference Name;Pages;Editor;Book Title;ISBN;Series Title;Number of Pages;Abstract
Team;Journal Article;64;Abou Nader, E., Kleftodimos, G., Kyrgiakos, L. S., Kleisiari, C., Gallai, N., Darwich, S., Berchoux, T., Vlontzos, G. and Belhouchette, H.;2023;Linking Beekeepers' and Farmers' Preferences towards Pollination Services in Greek Kiwi Systems;Linking Beekeepers' and Farmers' Preferences towards Pollination Services in Greek Kiwi Systems;ANIMALS;13;5;MAR;2076-2615;10.3390/ani13050806;806;WOS:000947454200001;;;;;;;;;Simple Summary Greek kiwi production systems suffer from a Pollination Services (PS) shortage due to the declining number of wild pollinators. This study assesses the barriers towards the implementation of a PS market in Greek kiwi production systems by conducting two separate quantitative surveys, one for beekeepers and one for kiwi producers. The field survey findings corroborate the existence of a strong basis for further collaboration between the two stakeholders, as both of them acknowledge the importance of PS. Moreover, the farmers' willingness to pay and the beekeepers' willingness to receive regarding the renting of their hives for PS were examined. The kiwi is a highly insect-pollinated dependent crop and is the cornerstone of the Greek agricultural sector, rendering the country as the fourth biggest kiwi producer worldwide, with an expected increase in national production the following years. This extensive transformation of the Greek arable land to Kiwi monocultures in combination with a worldwide shortage of pollination services due to the wild pollinators' decline raises questions for the provision of pollination services, and consequently, for the sustainability of the sector. In many countries, this shortage of pollination services has been addressed by the installation of pollination services markets, such as those in the USA and France. Therefore, this study tries to identify the barriers towards the implementation of a pollination services market in Greek kiwi production systems by conducting two separate quantitative surveys, one for beekeepers and one for kiwi producers. The findings showed a strong basis for further collaboration between the two stakeholders, as both of them acknowledge the importance of pollination services. Moreover, the farmers' willingness to pay and the beekeepers' willingness to receive of the beekeepers regarding the renting of their hives for pollination services were examined.
Team;Journal Article;63;Amassaghrou, A., Barkaoui, K., Bouaziz, A., Alaoui, S. B., Fatemi, Z. E. and Daoui, K.;2023;Yield and related traits of three legume crops grown in olive-based agroforestry under an intense drought in the South Mediterranean;Yield and related traits of three legume crops grown in olive-based agroforestry under an intense drought in the South Mediterranean;SAUDI JOURNAL OF BIOLOGICAL SCIENCES;30;4;APR;"1319-562X,2213-7106
";10.1016/j.sjbs.2023.103597;103597;WOS:000954832500001;MAR 2023;;;;;;;;Heat and drought stresses have become more frequent and intense in the Mediterranean, strongly influ-encing arable crop phenology, growth, and grain yield. Agroforestry systems can effectively buffer the adverse climate conditions and stabilize or even increase crop yield under climate change. However, the positive effects of agroforestry remain uncertain due to the possible intense competition between trees and crops, especially for legume crops that have been less studied than cereals in such context. This study aimed to assess the response of the phenology, growth, grain yield, and yield-related traits of chickpea (Cicer arietinum), faba bean (Vicia faba), and lentil (Lens culinaris) to olive-based agroforestry (AFS) as compared to sole crops system (SCS) in the South of the Mediterranean. We conducted a field experiment during two growing seasons marked by an intense drought, either at the beginning (year 1) or at the end (year 2) of the crop cycle. Crop growth and yield were lower in year 1 than in year 2, reflecting the adverse growing conditions caused by the early drought. They were also lower in AFS than in SCS for both years, indicating that trees had competitive effects on crops. In year 1, the yield loss of grains in AFS was 66 % for lentil, 47 % for chickpea, and 43 % for faba bean compared to SCS, confirming the greater shade sensitivity of lentil. In year 2, the reduction was significantly smaller and was about 46 %, 34 %, 38 % for lentil, chickpea and, faba bean, respectively. The number of pods and grains were the most affected yield components by agroforestry and drought timing across the three legumes crops. Similar responses were found when comparing crops at different distances to trees within the AFS field. Crops generally had lower biomass and yield, explained by fewer pods and grains, on the northern side of trees compared to the southern side of trees or the middle of tree inter-rows, causing significant spatial heterogeneity in crops. However, lentil and chickpea had a positive response to shade during the early drought year while a negative response during the late drought year, suggesting that the benefits of the microclimate created by olive trees express depending on drought timing and crop physiology. Our study supports legume integration into AFS, suggesting that chickpea should be considered during high-stress conditions, while faba bean should be preferred during low-stress conditions.(c) 2023 The Authors. Published by Elsevier B.V. on behalf of King Saud University. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).
Team;Journal Article;170;Amassaghrou, A., Bouaziz, A., Daoui, K., Belhouchette, H., Ezzahouani, A. and Barkaoui, K.;2021;Productivity and efficiency of olive-based agroforestry systems in Morocco: case of Moulay Driss Zerhoun;Productivity and efficiency of olive-based agroforestry systems in Morocco: case of Moulay Driss Zerhoun;CAHIERS AGRICULTURES;30;;JAN 7;"1166-7699,1777-5949
";10.1051/cagri/2020041;2;WOS:000610067700002;;;;;;;;;In Morocco, agroforestry systems based on olive trees are widespread and diverse. This work aims at characterizing their diversity and performance. To this end, 72 farmers surveys were conducted in the Moulay Driss Zerhoun region (Morocco). For each farm, agroforestry plots were compared to corresponding monocrops and pure olive orchards. Under rainfed conditions, the insertion of legumes and cereals in olive orchards is the dominant association. There are very significant differences in yields of annual crops and olive between agroforestry systems, and monocrops and pure orchards. The Land Equivalent Ratio of yields and gross margins is always greater than 1 with cereals and legumes in agroforestry. Our results suggest that agroforestry systems are more productive, profitable and land-efficient than monocrops. Therefore, agroforestry may constitute a relevant strategy for a sustainable production. Nevertheless, additional experiments are needed to better understand the productivity of these systems and their advantages and limits.
Team;Journal Article;54;Andrianarisoa, K. S., Dufour, L., Bienaimé, S., Zeller, B., Choma, C. and Dupraz, C.;2023;A high soil potential net nitrification was observed at 4 m depth: What are the driving factors?;A high soil potential net nitrification was observed at 4 m depth: What are the driving factors?;EUROPEAN JOURNAL OF SOIL SCIENCE;74;4;JUL;"1351-0754,1365-2389
";10.1111/ejss.13390;e13390;WOS:001024120800001;;;;;;;;;Studies about nitrogen (N) mineralization and nitrification in deep soil layers are rare because N processes are considered to occur mainly in topsoil that hosts active and diverse microbial communities. This study aimed to measure the soil potential net N mineralization (PNM) and nitrification (PNN) down to 4 m depth and to discuss factors controlling their variability. Twenty-one soil cores were collected at the Restinclieres agroforestry experimental site, where 14-year-old hybrid walnut trees were intercropped with durum wheat. Soil cores were incubated in the dark in the laboratory at both 6 and 25 degrees C. The soil was a deep calcic fluvisol with a fluctuating water table. It featured a black layer that was very rich in organic matter and permanently water saturated at depths between 3.0 and 4.0 m. The mean soil mineral N content was 3 mg N kg(-1) soil in the upper 0.0-0.2 m layer, decreasing until a depth of 2 m and increasing to the maximum value of 25.8 mg N kg(-1) soil in the black layer. While nitrate (NO3-) was the dominant form of mineral N (89%) in the upper 0.0-0.2 m layer, its proportion progressively decreased with depth until ammonium (NH4+) became almost the only form of mineral N (97%) in the saturated black layer. Laboratory soil incubation revealed that PNM and PNN occurred at all depths, although the latter remained low at 6 degrees C. The soil nitrate content in the black layer was multiplied by 48 times after 51 days of incubation at 25 degrees C, whereas it was almost inexistent at the sampling date. While the soil total N, the pH and the incubation temperature explained 84% of the variation in PNM, only 29% of the percent nitrification variance was explained by the incubation temperature (T-inc) and the soil C-to-N ratio. These results point out the necessity to consider soil potential net N mineralization and nitrification of deep soil layers to improve model predictions.
Team;Conference Paper;266;Atay, E., Crété, X., Loubet, D. and Lauri, PÉ;2019;A moderate regulated deficit irrigation does not negatively affect flowering, fruit-set and return-bloom in a late apple cultivar;;;1253;;;;10.17660/ActaHortic.2019.1253.9;;WOS:000945545400009;;XXX INTERNATIONAL HORTICULTURAL CONGRESS (IHC2018): INTERNATIONAL SYMPOSIUM ON WATER AND NUTRIENT RELATIONS AND MANAGEMENT OF HORTICULTURAL CROPS;63-69;;;;;;"This study aimed at investigating the effects of regulated deficit irrigation one year on return-bloom and characteristics of inflorescences and fruit-set in the following year. In three consecutive years, 2012, 2013 and 2014, trees were subjected to two water regimes: Control (well-watered, WW), and 50% water deficit during one summer month, July (water-stressed, WS). In 2014, almost all 2013-shoots had a terminal inflorescence. They were separated into three length classes: short, 0.5-2 cm; medium, 2-11 cm; and long, equal or longer than 11 cm. Within each 2013-shoot size category, leaf number and leaf area of terminal inflorescences on these shoots were not affected significantly by the water regime. In the long shoot category, WW gave higher values for the bourse-shoot number in comparison to WS. The number of flowers per terminal inflorescence did not vary between WS and WW. To conclude, our results showed that the number of nodes of a shoot in 2013, and the number of leaves, leaf area and fruit-set of the inflorescence in 2014 as well as the frequency of bourse-overbourse between the couples of years 2012-13 and 2013-14 were not affected by moderate water stress. Overall, a 50% water stress over one month in summer for a late season cultivar did not decrease shoot growth in the same year, likely because shoot growth was already finished by summer months. Interestingly, it also did not affect inflorescence development, fruit-set and bourse-shoot formation in the following year. Working on a late cultivar, i.e. 'JoyaT', with a long period of fruit growth, likely buffers the effects of summer water deficit. Our study supported the idea that regulated deficit irrigation needs to be adapted to the conditions and the cultivar."
Team;Journal Article;172;Atay, E., Crété, X., Loubet, D. and Lauri, P. E.;2021;Effects of Different Crop Loads on Physiological, Yield and Fruit Quality of 'Joya™' Apple Trees: High Crop Load Decreases Maximum Daily Trunk Diameter and Does Not Affect Stem Water Potential;Effects of Different Crop Loads on Physiological, Yield and Fruit Quality of 'Joya™' Apple Trees: High Crop Load Decreases Maximum Daily Trunk Diameter and Does Not Affect Stem Water Potential;INTERNATIONAL JOURNAL OF FRUIT SCIENCE;21;1;JAN 1;"1553-8362,1553-8621
";10.1080/15538362.2021.1951922;;WOS:000675223400001;;;955-969;;;;;;"This study aimed to evaluate the effects of different crop load levels on apple trees' yield and physiological characteristics, emphasizing the relationship between stem water potential and crop load and the link between trunk diameter growth and crop load. It was conducted in 2014 at Station Experimentale Fruits et Legumes (SUDEXPE-CEHM) in Southern France. The 'Joya (TM)' apple on Pajam-1 rootstock was used as the plant material. Trees were subjected to hand thinning to obtain four final crop load levels as high (100%; 10 fruit/cm(2) of branch cross-sectional area (BCSA)), medium-high (75%; 7.5 fruit/cm(2) of BCSA), medium-low (50%; 5 fruit/cm(2) of BCSA) and low (25%; 2.5 fruit/cm(2) of BCSA). The four crop load levels were set up in a randomized block design with four replications, and each plot was formed of five uniform trees. Stem water potential was weakly affected by crop load but was mainly driven by vapor pressure deficit. The maximum daily trunk diameter, by and large, reduced while crop load level increased. The increase in crop load level was negatively related to fruit size, acidity and soluble solids content. Crop load did not affect bitter pit incidence. However, in parallel to the increasing crop load level, cumulative yield, yield efficiency and water productivity increased."
Team;Journal Article;108;Atay, E., Crété, X., Loubet, D. and Lauri, P. E.;2023;Diurnal and Seasonal Growth Responses of Apple Trees to Water-Deficit Stress;Diurnal and Seasonal Growth Responses of Apple Trees to Water-Deficit Stress;ERWERBS-OBSTBAU;65;1;FEB;"0014-0309,1439-0302
";10.1007/s10341-022-00689-4;;WOS:000803871200003;MAY 2022;;1-6;;;;;;"This study was conducted at the Station Experimentale Fruits et Legumes in the South-East Mediterranean region of France and aimed to explore the effects of water-deficit stress on fruit production, water status, and growth responses. It was carried out on a 9-year-old top worked apple cv. ""Joya (TM)"" on Pajam-1 rootstock. Water stress (at 50%) applied after vegetative growth was completed, from the beginning of July to the end of the irrigation season decreased size but increased soluble solids content in fruit. Water-stressed trees showed relatively high water use efficiency without causing a significant effect on yield. Indeed, the water amount used for one fruit was 11.41 (median) in water-stressed trees and 15.91 (median) in well-watered trees, although tree volume and leaf area were similar between the two water regimes. A within-tree network of dendrometers was installed in four locations (bottom of a branch and end of the same branch, fruit, and trunk). The branch and trunk's maximum and minimum diameter growth were observed in the morning and noon, respectively, over the diurnal period, whatever the water regime. The maximal diameter growth of fruit in both water regimes was during the afternoon on a diurnal basis, unlike vegetative tree portions."
Team;Journal Article;267;Atay, E., Hucbourg, B., Drevet, A. and Lauri, P. E.;2019;EFFECTS OF PREHARVEST DEFICIT IRRIGATION TREATMENTS IN COMBINATION WITH REDUCED NITROGEN FERTILIZATION ON ORCHARD PERFORMANCE OF NECTARINE WITH EMPHASIS ON POSTHARVEST DISEASES AND PRUNING WEIGHTS;EFFECTS OF PREHARVEST DEFICIT IRRIGATION TREATMENTS IN COMBINATION WITH REDUCED NITROGEN FERTILIZATION ON ORCHARD PERFORMANCE OF NECTARINE WITH EMPHASIS ON POSTHARVEST DISEASES AND PRUNING WEIGHTS;ACTA SCIENTIARUM POLONORUM-HORTORUM CULTUS;18;1;;"1644-0692,2545-1405
";10.24326/asphc.2019.1.21;;WOS:000464924400021;;;207-217;;;;;;Fruit production should be adapted to future scenarios that are frequently associated with scarce resources, especially freshwater and fertilizers. New biologically-based fruit production strategies, i.e. taking into account tree growth and water status, are required to optimize irrigation and fertilization under abiotic stress conditions. It was hypothesized that a moderate abiotic stress, here deficit irrigation with or without nitrogen deficit, in the preharvest period, could decrease postharvest losses due to diseases and pruning weights due to reduced vegetative growth, without sacrificing the yield and fruit quality. This study was conducted over two years using the same trees of 'Moncante' nectarine cultivar grown in a commercial orchard. Trees were assigned to three treatments: (1) full irrigation at 80% estimated crop evapotranspiration (ETc), (2) deficit irrigation, i.e. at 75% of full irrigation, and (3) deficit irrigation and deficit nitrogen, i.e. at 75% of full irrigation and 75% of usual N-fertilization adopted by the grower in this commercial orchard. Deficit irrigation alone and in combination with deficit nitrogen reduced postharvest diseases and pruning weights without significant yield losses. Our results suggest that ETc-based approaches of reduced water irrigation may be a sustainable way to decrease phytosanitary inputs and workload in the orchard while maintaining the orchard performance.
Team;Journal Article;2;Bachakdjian, L., Blanchet, G., Gosme, M., Bourdoncle, J. F. and Dupraz, C.;2024;Drought field experiments: how to adapt rainout shelters to agroforestry?;Drought field experiments: how to adapt rainout shelters to agroforestry?;AGROFORESTRY SYSTEMS;;;2024 OCT 26;"0167-4366,1572-9680
";10.1007/s10457-024-01092-6;;WOS:001342923700001;OCT 2024;;;;;;;;Agroforestry could be a major strategy to adapt agriculture to climate change, thanks to the microclimate effects of trees and improved infiltration. However, the experimental validation of these claims is scarce. In this methodological review, we discuss options for the experimental simulation of drought conditions in agroforestry field experiments, comparing it with strategies adopted in natural, agricultural, or forestry ecosystems. We classify rainout shelters used in field experiments according to mobility, completeness of rain interception and height of rainout shelter. We show that specificities of agroforestry systems create constraints and require compromises in the design and operation of rainout shelters. We conclude that large rainout shelters, which induce drought for both the trees and the crops while limiting artifacts and biases, would be most relevant for studying the resistance of agroforestry systems to drought. Unfortunately, the review of rainout shelters already used in agroforestry systems reveals a lack of rainout shelters capable of intercepting rain on both trees and crops, achieving total rain interception, while being relatively low-cost and manageable by a small team. Therefore, we benchmark three novel rainout shelter designs that we tested in a mature agroforestry system under Mediterranean climatic conditions. We discuss their advantages and disadvantages in terms of both scientific and operational aspects. While compromises had to be done between experimental design, risks of artifact/bias, effectiveness, ease of installation, operation and maintenance, and agricultural management, these prototypes are starting points for achieving well-performing rainout shelters and testing the effects of drought in agroforestry experiments.
Team;Journal Article;160;Bakker, T., Dugué, P. and de Tourdonnet, S.;2021;Assessing the effects of Farmer Field Schools on farmers' trajectories of change in practices;Assessing the effects of Farmer Field Schools on farmers' trajectories of change in practices;AGRONOMY FOR SUSTAINABLE DEVELOPMENT;41;2;MAR 3;"1774-0746,1773-0155
";10.1007/s13593-021-00667-2;18;WOS:000625480000001;;;;;;;;;"In West Africa, farmers face challenges to innovate and change their practices toward more sustainable cropping systems. Farmer Field Schools (FFS), an advisory service based on participatory principles, aim to support farmers' innovation. This study investigates farmers' innovation by characterizing their trajectories of change in agricultural practices after they participated in FFS. Two contrasting types of FFS for family farmers in the cotton-growing area of West Africa were selected. The FFS differed in how they were implemented; farmer participation was either consultative (farmers participated little in developing the FFS curricula and structure) or collaborative (farmers participated actively in developing the FFS curricula and structure). Former FFS participants were interviewed on their successive changes in cropping practices over a 4 to 8-year time span. The sample included seven FFS on rainy season cropping (17 interviews in Burkina Faso, 22 in Togo), and four vegetable gardening FFS (21 interviews in Togo). The Efficiency-Substitution-Redesign framework was applied to pest management, organic and mineral fertilization and legume cropping practices. Our results show that the way FFS were implemented influenced farmers' trajectories of change in practices. After consultative FFS, changes in practices were limited. After collaborative FFS, we found a variety of changes in the production and use of compost, biopesticides, and inclusion of legumes in the cropping system through intercropping or pure cropping. Redesign of cropping systems included increasing on-farm compost production, collective pest management, and crop rotations. Collaborative FFS can be seen as step-by-step design processes for locally adapted cropping systems. This is the first time that farmers' trajectories of change in practices are used to assess the effects of FFS. This approach is valuable for understanding farmers' decision making and the role of participatory innovation support initiatives such as FFS."
